Drug,Count
qday cholecalciferol vitamin d unit po,1
oxycontin ibuprofen,1
calcium gluconate sodium bicarb kayexalate vanc,1
calcium gluconate propofol,1
vanc aztreonam tamiflu,1
oxycodone fluticasone,1
steroids danazol,1
vitamins vitamin k,1
cefepime vanc cefepime,1
vitamin k vitamin k,1
oxycodone anemia normocytic,1
welchol,2
glucose metoprolol,1
po bid welchol,1
cholesterol thrombotic emboli,1
qweek,1
syrup tbsp syrup,1
sodium potassium chloride flow cytometry,1
doxorubicin doxorubicin,1
ifosphamide,3
uric acid stone,1
fatty acids capsule sig one capsule po bid,1
vitamin e unit tablet sig,1
salicylate overdose,7
aspirin hypotension,1
aspirin toxicity tremor,1
salicylate overdose acid,1
acide,1
tacrolimus tacrolimus,1
qhs vitamin b vitamin d,1
sodium bicarbonate calcitriol,1
sodium bicarbonate lasix,1
doxarubucin c d,1
acylovir meningitis,1
decadron calcitriol,1
hcap vanc cefepime flagyl,1
folate nitrofurantoin,1
lidocaine gargle,1
sotalol hcl,1
protonix rocephin,1
alcoholic withdrawal,1
citalopram overdose,1
clonidine clonidine,1
po tid betamethasone,1
cptxs,1
aspirin clopidogrel atorvastatin,1
steroids dementia,3
levofloxacin s oxacillin s trimethoprim sulfa s imaging cxr impression mild,1
vitamin d u ipratropium,1
suppository albuterol,1
ampicillin acylcovir,1
premavir,3
divalproex sodium depakote,1
folic acid b b,1
cholestyramine questran,1
powd olanzapine zyprexa,1
qhs oxcarbazepine,2
vit d hospital vitamin b,1
sevelamer lle ulcer,1
pentobarbitol,1
albuterol asacol,1
lovenox zantac,1
s p photofrin,1
po tid albuterol inhaler puff ih q h prn sob wheezing,1
oral abx avelox,1
redose,6
"V4501"",""197",1
p drainage iron,1
plavix aspirin prednisone,1
felodipine lasix metoprolol,1
eyedrops flaxseed calcium,1
vitamin d vicodin p r n,1
pressors protonix,1
aspirin copd,1
vitamin b complex vitamin c folic acid,1
cipro ferrous sulfate lasix levothyroxine spironolactone vanco,1
triamcinolone acetonide cream amiodarone heparin,1
vitamin oh d,1
qhs vit c aspirin,1
appetite feelings of depression,1
vancomycin cellulitis,1
docusate sirolimus,1
etomidate lidocaine succinylcholine,1
hepatitis hbsag hbsab hbcab hav ab am negative negative negative negative,1
d cing spironolactone,1
nystatin vitamin b clindamycin spironolactone,1
alcohol hepatitis sbp,1
nifedipine amlodipine lasix hydralazine labetalol,1
lispro insulin sliding scale her blood sugars,1
phosphenytoin keppra,1
s p baclofen,1
p coronary artery bypass grafts non st elevation,1
aricept hydroxychloroquin,1
levofloxacin s oxacillin s trimethoprim sulfa s blood cx,1
creatinine lisinopril,1
qod aspirin,4
fatty acid dorzalamide,1
sucralfate furosemide,1
po qid vitamin b mcg,1
ace inhibitor his vitamin d,1
olmesartan medoxomil hydrochlorothiazide,1
amlodipine besylate atorvastatin calcium,1
dynacirc,1
epogen venofer,1
metoprolol olmesartan,1
qhs atorvastatin lipitor,3
bordferline,1
aspirin ranolazine clopidogrel atorvastatin,1
ferrous sulfate diabetes mellitus type dmt takes glargin units qhs,1
qam isosorbide mononitrate,1
qd multivitamin qd,1
nb nb vomiting,1
kinin,1
dexamthasone diphenhydramine,1
spironolactone lasix carvedilol losartan,1
humalog insulin sliding scale patient,1
qod ferrous sulfate,3
cholesterol carvedilol,1
nystatin triamcinolone mycogen ii unit g topical cream,1
remeron ropinirole,1
qhs ropinirole,1
s p chemoradiation hypertension hypercholesterolemia atrial fibrillation,1
pyridostigmine mycophenolate,1
qhs apresoline,1
qid duragesic,1
po q multivitamin,1
vit d tachycardia,1
ppx hsq bowel regimen,1
calcium vitamin d bactrim,2
metaprolol isosorbide,1
diovan lasix simvastatin,1
nifedipine calcitriol,1
lasix nitro paste solumedrol,1
primaxin imipenim,1
vanco levo ceftaz,1
piperacillin tazo s tobramycin s bronchial washings,1
lasix aldactone diltiazem,1
sodium potassium phosphate,1
po bid methylprednisolone,1
neurontin soln,1
senokot vit e vit c oxycodone,1
acetaminophen buttock ulcerations,1
betamethason,1
carbidopa levodopa rasagiline,1
s p rituximab fludarabine,1
k enterococcus blood cx,1
furosemide aldactone nadolol,1
dehydration ketones,1
folic acid b complex c no nephronex capsule s,1
bisacodyl dulcolax docusate sodium omega fatty acids,1
alcohol withdrawal pea respiratory failure,1
senna metamucil lactulose,1
gallstone sludge gallbladder wall thickening,1
torsemide verapamil,1
simvastatin fluoxetine spironolactone irbesartan,1
cyproheptadine,4
levothyroxine hyperparathyroidism,1
fludrocortisone hydrocortisone,1
ipratropium bromide mdi puffs q,1
hepatitis c cirrhosis interstial lung disease,1
hepatitis c cirrhosis secondary hepatitis c,1
angap,1
s p stenting,1
levofloxacin chest tightness,1
clotrimazole cream doxazosin,1
hydrocodone acetaminophen qid,1
po bid synthetic progestin,1
po bid novolin units sc qam,1
haloperidol haloperidol,1
lubricate,2
flucinolone cream,1
levofloxacin flagyl dilantin,1
azithromycin gentamicin,1
ceftriaxone vancomycin levofloxacin,1
chlorhexidine allergic reaction,1
eosinophilia,2
amio coreg,1
ceftriaxone levaquin wheezes,1
gentamicin s nitrofurantoin,1
amiodarone hypothyroidism,3
levothyroxine depression bipolar,1
celexa risperdal lithium,1
lantus qam vitamin c,1
qhs senna sucralfate,1
warfarin qhs,2
lithium qhs remeron qhs risperdal qhs tylenol,1
alcohol lactulose,1
vanco zosyn ortho,1
metoprolol succinate diovan,1
gabapentin duloxetine,1
pressurs,1
calcitriol leukocytosis,1
spironolactone furosemide metformin,1
levothyroxine leucopenia,1
risperidone qhs citalopram,1
lactulose omeprazole,1
danazol folic acid,1
lasix diabetes mellitus,1
amytriptyline qhs atenolol,1
vitamin d fluticasone,1
qhs mupirocin nasal ointment,1
vitamin d unit cap capsule s by mouth,1
qhs vitamins b b c d e eye,1
glucose ketones lactate,1
dopamine cipro,1
aripirazole,3
albuterol inhaler puff ih q h prn sob montelukast sodium,1
bisoprolol fumarate,4
colace senna hydralizine,1
lasix zaroxyln,1
prednosine,1
vitamin c chronic,1
lisinopril labetolol lasix,1
tobramycin s trimethoprim sulfa s brief hospitalhospital course year old male with pmhx significant for chf recurrent pna rectal ca with colostomy,1
valproate toxicity,1
valproic acid dysphagia,1
quetiapine fumarate seroquel,1
po bid quetiapine fumarate seroquel,1
po bisacodyl,1
dilantin regimen alcohol abuse,1
niacin calcium,1
vitamin e vitamin d fish oil co enzymeq note patient,1
iron sulphate,1
po bid synthroid mg po,1
deferasirox,5
inlcude clofarabine,1
meropenem levofloxacin voriconazole,1
clofarabine toxicity,1
iron deficiency anemia,1
morphine soln,1
cytotec pitocin,2
cranberry sauce substance she,1
lactulose dysuria rash,1
po qam thiamine,1
bactrim tachycardia tachypnea,1
zolpidem oxycodone lorazepam omeprazole,1
levofloxacin s oxacillin s trimethoprim sulfa s pm joint fluid source shoulder final,1
levofloxacin s oxacillin s trimethoprim sulfa s am urine source catheter final report urine culture,1
qid zovirax,1
polyarthalgias abdominal pain,1
simethicone zofran,1
fluticasone cor pulmonale right sided heart failure tte,1
heparin plavix integrelin,1
disconjugate gaze thought to be,1
tobramycin s trimethoprim sulfa s crypotcoccal antigen negative,1
tobramycin ointment,1
vit d feosol,1
leuprolide lisinopril,1
metronidazole pantoprazole,1
lantus lasix lisinopril,1
pravastatin metoprolol,1
po qd vitamin d units capsule qd,1
mesalamine iron dextran,1
troche troche qid ergocalciferol vitamin d unit cap cap po qwk,1
subq qid lactulose,1
zinc ointment appl rectal x day prnhemorrhoids ciprofloxacin,1
k green,1
methylprednisolone medrol,1
vitamin one,3
vitamin d unit day,1
tertacycline,1
ampicillin nitrofurantoin tetracycline bactrim,1
estrogen cream,4
methenimine,2
albuterol mdi transitional issues utis she has h o multiple utis,1
turbuhaler,1
vanco bactrim,1
po ppx,1
steroids plavix,1
methotrexate prednisone,2
"coumadin discharge,""7140",1
neomycin bacitracin polymyxin,1
fluoxetine anemia,1
senna miralax bisacodyl,2
doxazosin pain,1
albumnin,1
diovan lasix miconazole amiodarone,1
aspirin omeprazole,1
parafalcine,1
aztreonam vanco micafungin s p fluconazole allergic,1
flagyl levaquin,1
aztreonem,1
rash aztreonam,1
meropenem metronidazole micafungin vancomycin,1
ambisome bactrim flagyl meropenem,1
piperacillin tazo s tobramycin s trimethoprim sulfa s legionella culture final,1
albuterol mdi prn discharge medicationsdischarge diagnosis primary,1
vitamin k unit of ffp,1
citalopram qhs lyrica,1
nexium multivitamin prednisone,1
spiriva trazodone qhs,1
ifn alpha s p cholecystectomy hemorrhoids,1
levofloxacin fever nausea transaminitis,1
nadolol bumetidine,1
bumetidine,1
octreitide,1
plavix dementia,1
foscarnet caspofungin,2
herpes cmv,1
b cell lymphoma mud nonmyeloblative allogeneic stem cell transplantation tolerated,1
ganciclovir d,2
cytoxan mesna,1
miconazole powder dilantin,1
yetserday,1
E8801,2
piperacillin tazo s tobramycin s trimethoprim sulfa s brief hospitalhospital course the patient was from dr name ni clinic for,1
lisinopril protonix iron vit c calcium,1
vancomycin bilious,1
clopidigrel,3
pylo,1
dicloxacillin bactrim,1
aprazolam,2
po bid premarin,1
"2724, 53081",1
vit c folic acid amlodipine,1
nystatin qhs,3
hepatitis b serologies hbv sag negative hbv sab negative hbv cab negative osh echo ef normal wall motion no,1
po bid cipro,1
lactulose rifaximin lasix spironolactone cipro ppx,1
phenytoin levetiracetam topamax,1
qid nadolol,1
vit k supplementation a hematology c s was obtained for,1
vit k supplements,1
qhs metoprolol succ,1
lantus qam,1
compazine scopolamine,1
po mwf latanoprost,1
thirsty,1
diamox lasix,1
albuterol ipratropium inhaler qd,1
fluticasone salmeterol inhaler,2
vecuronium etomidate succinylcholine,1
albuterol mdi prn sob discharge medicationsdischarge diagnosis ischemic colitis,1
glucan galactomannan cocci,1
sodium bicarbonate creatinine,1
minerals vitamins minerals,1
metoprolol nitrate,2
cymbalta trazadone,1
urea carmol cream,2
po bid miconazole powder appl,2
lisinopril diltiazem,4
esophagus barium esophogram,1
clarithromycin metronidazole tetracycline,1
thiamine clonidine,1
esbl pulmonary embolism,1
iron poly sachharide,1
vitamin e vitamin c glucosamine,1
sputtered,1
vitamin b mg tab oral once,1
vitamin e unit cap oral capsule s,1
vitamin d unit chewable,1
vancomycin levaquin cefepime,3
adeuate,2
lovenox dvt precaution per orthopedics recommendation physical,1
po bid cinacalcet,1
hepatitis c congenital single kidney esrd,1
ethanol acetmnp bnzodzp barbitr tricycl neg neg neg neg neg neg neg these units by weight positive tricyclic results represent potentially toxic levels therapeutic tricyclic,1
amyloid etc especially in light of improving renal function,1
dvt,2
b multivitamin tylenol,1
acetaminophen heparin,2
laxation,1
po bid neutra phos pkt po bid,1
aspirin nadolol lasix,1
midrodine octreotide,1
humalog insulin sliding scale she tolerated this,1
epinephrine levophed milrinone,3
cholecalciferol vitamin d unit capsule capsule s by mouth qday,1
alcohol withdrawal more times than,1
alcohol withdrawal alcohol withdrawal the patients last drink was on he drinks a quart of rum,1
hepatitis e s p abo mismatch oltx,1
meropenum micafungin flagyl,1
prograf prednisone,1
ursodiol agitation,1
hepatitis b immune globulin units per,1
po qam protonix,1
po bid caltrate vit d,1
morphine ondansetron,1
albuterol inhaler puffs ih prn lipitor,1
qhs vitamin d u po bid lasix,1
final anaerobic bottle final blood culture aerobic bottle,1
final anaerobic bottle final urine urine culture final inpatient ekg,1
calcium vitamin d albuterol,1
metoprolol lipitor,2
fatty meal,1
lisinopril simvastatin omeprazole metformin,1
naloxone phenylephrine levophed midazolam,1
qhs miconazole powder,1
diminshed,4
patietn,2
methimazole hypertension,1
triamterene hydrochlorothiazid mg capsule sig one cap po daily,1
alcohol mildly lightheaded,1
kayexalate zofran calcium gluconate,1
qhs metoclopramide,2
vitamin e unit tab,1
oxycodone neuropathy,1
cefepime voriconazole flagyl,1
acyclovir cytopenia,1
hypertensin,1
riluzole,4
p vanc cefepime ciprofloxacin,1
morphine phenergan,1
oxycodone pregabalin,1
miconazole nitrate mitrazol powder,1
valvuplasty,1
oral agents metformin,1
po bid meloxicam,1
ceftriaxone unasyn,1
citalopram risperidone,1
potassium chloride levaquin,1
vit d medications on,1
aicd trace mr chronic pain,1
benzo withdrwal as evidence by,1
benzo withdrawal was considered likely since patient,1
cytoxan velcade prednisone,1
hepatitis b hypercholesterolemia meds trimethoprim sulfamethoxazole,1
fentanyl citrate mcg lollipop q,2
pm caltibc vit b,1
po qidachs nortriptyline,1
tylenol toxicity viral hepatitis,1
nausea tylenol,1
granulomatosis,2
baclofen tizanidine,1
tobramycin s trimethoprim sulfa s mini bal,1
tobramycin s trimethoprim sulfa s blood culture pending urine culture,1
nepthramine,1
esbl klebsiella pseudomonas vre,1
iron tibc ferritin transferrin so she was started on,1
pm blood ethylene glycol ref,1
alcohol methyl b,1
alcohol ethyl b,2
alcohol isopropyl b,1
po bid mycophenolate,2
po bid nortriptyline,2
zaleplon,1
thiamine folic acid calcium,1
ethanol acetmnp bnzodzp barbitr tricycl micro urine culture negative urine culture negative urine culture negative blood culture x negative stool culture c difficile,1
p vibrio cryptosporidium ascites,1
glycopryrolate,1
doxepin hypertension,1
calcium acetate metoclopramide,1
albuterol inhaler singulair,1
ceftriaxone vancomycin dexamethasone,1
humulin insulin sliding scale id fever,1
fluticasone albuterol furosemide,1
tobramycin s trimethoprim sulfa s am swab peritoneal fluid,1
clopidogrel atorvastatin metoprolol,2
vancomycin meropenem voriconazole acyclovir,1
qid hypothyroidism,1
metformin hydrochloride morphine,1
prednison plavix protonix zoloft,1
vanco levo x d,1
glucotrol protonix catapress,1
lasix xalatan,1
"V6141"",""304",1
lobatalol,1
po qday aliskiren,1
l angio,1
cefazolin cefepime ceftaz,1
ceftriaxone ciprofloxacin,2
imipenam,1
bicarb ketones,1
fusobacterium necrophorum clindamycin s acid,2
tobramycin s trimethoprim sulfa s note all other blood urine sputum stool and catheter tip cultures,1
appetite improved and ngt was removed and she was converted to oral antibiotics and her picc line was removed her affect was initially very flat,1
flagyl ciprofloxacin lovenox,1
fusobacterium necrophorum acute,1
calcium phosphate magnesium potassium,1
uric acid u a urine lytes pm urine color amber,1
lasix statin,1
allopurinol toxicity,1
tobramycin s trimethoprim sulfa s imaging cxr impression right sided internal jugular venous catheter with tip in the mid svc,1
amio qd,1
vitamin d colace mg hospital discharge medicationsdischarge,1
nortriptiline,1
albuterol ativan,1
nortryptiline qhs trazadone,1
simvastatin diabetes mellitus type dmt diet controlled maintained on sliding scale insulin in house gerd,1
omeprazole hyperparathyroidism,1
calcitriol gout allopurinol,1
morphine epogen,1
zoledronic acid mannitol,3
calcium vitamin d vitamin k viactiv prescribed by other provider mg unit unit number,1
selegiline carbidopa,1
selegiline,6
endosteal scalloping of the proximal medial cortex compromise of the bone puts the patient,1
haldol xanax,1
valium zyprexa,1
acetaminophen alcohol,1
acetaminophen pain,1
lamotrigene,1
penciclovir cream,1
dronedarone metoprolol,1
calcium chloride insulin d epinephrine atropine,2
multivitamin vitamin b hospital vit c,1
tegretol hypertension,1
qid clopidogrel plavix,1
esp,2
qid aspirin,2
sof,2
po qam amitriptyline,1
calcium citrate d,1
calcium citrate vitamin d tablet oral daily,1
po qpm isosorbide mononitrate,1
po qpm lorazepam,1
thiamin folate,1
gentamicin vancomycin,2
aq mcg,1
p coronary artery bypass s p myocardial infarction hypertension hypercholesterolemia,1
lasix verapamil,1
atorvastatin qhs losartan,1
calcium phosphate magnesium iron cholest pm caltibc vit b folate,1
metformin rosiglitazone,1
lasix dyslipidemia,1
po bid miacalcin,1
clonadine,1
diltiazem diabetes mellitus,2
hepatitis c sarcoid,1
gentamicin rifampin tetracycline bactrim vancomycin,1
gentamicin rifampin tetracycline bactrim vancomycin c difficile negative blood culture pending midline c difficile negative blood culture x pending midline and hd c difficile negative blood culture pending midline studies since admission,1
itra,2
po tid clopidogrel bisulfate,1
po qidachs diphenoxylate atropine,1
pancuromium,1
hepatitis c hep c ab negative pt was placed on ctx,1
nystatin powder to groin prn duoneb mg ml ih q h prn discharge medicationsdischarge diagnosis acute blood loss anemia,1
campath bronchiectasis,1
bradykinin,3
qpm mupirocin ointment,1
augmentin flagyl,1
qod simvastatin,1
keppra lacosamide felbatam,1
qid lacosamide,1
qid felbamate,1
glargine qhs atrial fibrillation,1
bisacodyl senna,1
esomeprazole labetalol,1
p m cyanocobalamin vitamin b vitamin b,1
p coronary artery bypass graft x acute,1
amlodipine citalopram,1
levothyroxine losartan potassium pravastatin,1
qhs maalox qid,1
bisacodyl senna ativan,1
deonstrate,1
p coronary artery bypass graft x systolic congestive,1
aggrenox zetia humalog u day nitrostat discharge medicationsdischarge diagnosis s p fall right acetabular fracture,1
plavix htn hld,1
erosium,1
statin alcoholic hepatitis,1
fatty acids vit d unit cap,1
triamcinolone cream oral prednisone,1
vancomycin caspofungin bactrim,1
steroids hodgkins lymphoma,1
cepachol,1
tricylic acid overdose,1
tobramycin s trimethoprim sulfa s urine urine culture final urine culture final mixed bacterial flora colony types consistent,1
warfarin heparin,2
loop urinary diversion,1
l ureter urothelial malignancy,2
po qsaturday,3
methorexate,1
po qam phenytoin,2
aspirin vancomycin rocephin protonix ativan,1
lasix solumedrol levaquin morphine,1
zocor zoloft metolazone lasix protonix,1
tylenol nausea vomiting,1
minerals aldactone doxepin,1
gemzar p w fever,1
protonix tricor,1
bprbr,1
qod albuterol sulfate,1
bimatoprost drops ophthalmic,1
vitamin b oral ferrousul oral colace oral loratadine,1
copious secretions cefepime,1
meropenem cefepime,1
esbl klebsiella pneumonia tte,1
amitriptyline qhs,1
heparin vanco,1
mycostatin powder to groins percocet prn hospital reg iss discharge medicationsdischarge diagnosis left foot ischemia,1
proscar lasix,1
levaquin atenolol,1
vitamin d oh d ng ml vitamin d oh d ng ml micro,2
vitamin d qweek units as pt has low serum vitamin oh d,1
thurs gi bleed anemia,1
demeclocyline,1
demeclocycline sodium,1
hydrocortizone,3
prednisone dilantin protonix atenolol synthroid calcium,1
po qid hydrocortisone,1
po bid esomeprazole,1
po tid modafinil,1
bacitracin gauze dressings,1
norepinephrine dopamine,1
p coronary artery bypass graft x pmh s p multivessel,1
eyedrop,1
vitamin b mcg q monday wednesday,1
lovenox ppx bowel regimen,1
po bid amylase lipase protease,1
disopyrimide,3
mupirocin nostril,1
vanco gent renally,1
humulin u qam humulin n u qpm allopurinol casodex felodipine,1
72813,1
appetite chronic disease,1
zyprexa htn,1
amlodipine atorva clopidogrel esomeprazole ezetimibe lorazepam qhs losartan metoprolol,1
sertraline triamterene,1
dilantin hypersensitivity syndrome,2
humalog insulin sliding scale she,1
acyclovir ceftriaxone,3
vandetanib,1
lasix kayexalate,1
heparin hemolysis,1
zocor plavix,1
singulair hyperlipidemia fenofibrate,1
zoloft trazodone naproxen,2
effecs,3
intuba pm blood k pm blood lactate,1
cefepime anorexia,1
lidocaine mouthwash caphasol,1
lithium sertraline simvastatin propranolol,1
gadolinium magnevist,1
prn multivitamin,1
vitamin d unit tablets,1
vitamin b tablet x per,1
vitamin b mg tablet x per week discharge medicationsdischarge,1
iron vit d u daily mvi discharge medicationsdischarge diagnosis primary urinary tract infection bronchitis,1
bactrim lisinopril,1
bactrim lasix,1
atenolol pepcid simvastatin,1
aspirin hydrocodone oxycodone flexeril,1
vit c qd,1
eucerin cream tianctin baby shampoo,1
vitamin b blood nmol,2
betahydroxybutyrate,3
peanut butter,1
vitamin dilaudid,1
po tid chlorhexidine gluconate,1
baclofen tylenol,1
bactrim levaquin,1
humalog insulin sliding scale coverage,1
lactate diabetes type i he,1
7534,2
colace senna zofran,1
cefazolin vancomycin,1
dyphenhydramine,1
multivitamins thrombocytopenia,1
vitamin d hospital centrum silver,1
fluconazole bactrim,1
levoflxacin,2
glyburide rash,1
po qd isosorbide,1
qhs allergies tetracycline,1
fluoxetine zyprexa,1
leofloxacin,1
carvedilol digoxin lasix lisinopril,1
warfarin potassium chloride,1
fexofenadine hydrochloride,1
tamsulosin hydrochloride,1
metformin hydrochloride,1
alpha streptococcus or lactobacillus sp ascitic fluid,1
levonorgestrel mirena potassium chloride spironolactone,1
poqd vit d aggrenox,1
improver,1
multivitamin thiamine folic acid tramadol,1
statin myalgia,1
cytoxan neurontin,1
po tid phenytoin lipitor,1
intuba pm blood type art o flow po pco ph caltco base xs intubat,1
nitroprusside toxicity,1
b cell lymphoma s p chop x cycles and r ice,1
b cell lymphoma s p autologous sct,1
voriconazole levaquin,1
bilirubin tylenol,1
po qam bumetanide,1
po qpm glargine,1
creatinine calcium lactate,1
lavamisole,1
cisplatinum chemo,1
caspofungin caspofungin,1
pantoprazole nadolol sucralfate,1
isosorbide mononitrate pravachol,1
plavix hydralazine,1
neurontin tramadol tylenol,1
qpm tramadol,1
po bid dilantin,2
qhs maalox,1
lasix dialy,1
qhs potassium chloride meq,1
s anaerobic bottle pending pm blood culture aerobic bottle,1
daunorubicin vincristine dexamethasone,1
asparaginase mtx,1
cyclophosphamide cytarabine mercaptopurine mtx,1
gancyclovir bronchoscopy lavage fluid,1
vancomycin cefepime ganciclovir voriconazole,1
ergocalciferol vitamin d unit capsule one,1
steroids nystatin,2
hepatitis c cirrhosis patent portal vein,1
interferon ribavarin,1
ramus obtuse marginal branch,1
lovenox niacin keppra carvedilol lisinopril,1
vancomycin flagyl lasix,1
lisinopril cough,1
ergocalciferol vitamin d unit q week,1
clindamycin phosphate lotion prn clobetasol cream,1
"V1581"",""404",1
cefipime staph aureus mrsa blood cx,1
qod iron sulfate,1
diltiazem multivitamin,1
handihaler tamsulosin,1
po mwf trazadone,1
asprin metoprolol,1
"polyethylene glycol miralax discharge medicationsdischarge diagnosis pt passed away discharge,""41071, 5100",1
gemzar navelbine,5
simvastatin renal insufficiency,1
succinylcholine etomidate fentanyl,1
flagyl levaquin solumedrol ceftriaxone,1
phenylepinephrine,1
ipratroprium mdi q h,1
qhs cogentin,2
iron levothyroxine,1
prednisone stroke,1
nitrate sl nitro,1
uptitrated lipitor,1
tamsulosin rheumatoid arthritis,1
enbrel terazosin,1
dilantin sodium bicarbonate ativan folate plavix quinine sulfate protonix keppra,1
lasix cipro,1
valium overdose,2
porphobilinogen,1
verapamil enalapril,1
rifaximin seroquel,1
ampicllin,1
valium overdose enterococcal uti pancytopenia hepatitis c diabetes type ii cad,1
spironolactone gynecomastia,1
bactrim vancomycin voriconazole,1
caspofungin vanc methylphenidate escitalopram olanzapine bupropion pantoprazole,1
heparin methadone,1
nitro gtt lasix,4
amio digoxin levothyroxine,1
humalog ssi vitamin d,1
lactate diarrhea,1
po tid felodipin,1
vitamin e units daily vitamin a b mcg,1
tobramycin s trimethoprim sulfa s labs am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc hct plt ct am blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc plt ct pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood pt inr pt pm blood pt ptt inr pt am blood pt ptt inr pt pm blood pt ptt inr pt pm blood pt ptt inr pt pm blood pt ptt inr pt pm blood fibrino pm blood fdp am blood fibrino am blood fibrino am blood fibrino am blood fibrino am blood glucose,1
vancomycin meropenem flagyl fluconazole,1
vit d oh vit d,1
flagyl cirrhosis,1
po tid vit k mg sc x,1
folic acid valium,1
solumedrol famotidine,1
citalopram zyprexa migraines,1
admininstration chest,1
ceftriaxone cefepime linezolid,1
daptomycin meropenem meningitis,1
midodrine ileus,1
spiriva epogen,1
albuterol sulfate mcg hfa q,1
vanco blood cx,1
pasteurella multocida ampicillin s ceftriaxone,1
trimethoprim sulfa s blood culture blood culture,1
atrophine,1
sevoflurane esmolol metoprolol ephedrine epinephrine atropine phenelephrine,1
flagyl anearobic,1
statins htn thoracic aortic aneurysm,1
glipizide lasix,2
contin dilaudid po,1
busprione,1
ifn ribavarin,1
uptitrate lasix,1
cardura senna,1
albuterol mirtazipine,1
qod vitamin c zaroxylyn mg every other week imdur,1
amiodarone atenolol,1
verapmil,1
metolazone furosemide,1
albuterol mdi qid,1
amiodarone hypotensive,1
tobramycin s trimethoprim sulfa s wound,1
gentamicin s oxacillin,1
cefepime cefepime,2
methadone baclofen,1
albuterol mdi w spacer,1
sucralfate alcoholic cirrhosis,1
duloxitine,1
vancomycin ceftazidime levaquin flagyl,1
atorvastatin naprosyn,1
simvastin lisinopril,1
neurontin tachycardia,1
tearful,1
qhs hydrocodone,4
qhs bentropene,1
qhs sl nitroglyerin,1
lasix florinef,1
benzo w d,1
vitamin d unit po x week doctor first name units breakfast units dinner,1
hepatitis c hepatic enchephalopathy,1
qhs ipratropium,1
guafenasin calcium carbonate,1
lipitor ezetimibe,1
reglan vanco coumadin tylenol,1
vitamin k unit prbc unit ffp,1
oxycodone flexeril,1
tylenol neurontin,2
po bid glucosamine chondroitin,1
qhs vitamin c acetaminophen,1
di,1
clonidine minoxidil diltiazem,1
doxazosin metoprolol,1
nonsteroidals,3
prozac modafinil iron,1
antimyeloma,1
edecrine,1
warfarin zinc,1
blood vanco oropharyngeal videofluoroscopic swallowing evaluation evaluation an oral and pharyngeal swallowing videofluoroscopy,1
nitro left system tte,1
cholesterol aspirin,1
penicillins sulfa sulfonamide,1
phenylehprine,1
alcohol withdrawal symptoms sternal protection,1
vitamin centrum silver,1
polyethylene glycol miralax prescribed by other provider gram,1
psyllium seed sucrose metamucil,1
admn,1
acebutolol alendronate,1
alfuzosin aspirin qod carbidopa levodopa diazepam qhs,1
insomnia esomeprazole venlafaxine calcium vitamin d micro,1
zidovudine nevirapine lamivudine,1
qhs paricalcitol,1
heptacarboxyporphyrin,1
porphyrin,1
hepatitis c disseminated,1
luminal occlusion,1
tacrolimus prednisone,2
calcitriol mcg capsule sig one capsule po every tuesday,1
tincture,2
vitamin d u qweekly lactulose,1
po qidachs cellcept,1
protonix tetracycline,1
allopurinol timolol,1
fluconazol,1
calcium vit d toprol,1
albuterol ipratropium cefepime,1
vitamin d lantus units daily regular insulin sliding scale medications,1
fluoxetine lipitor ambien,1
ceftriaxone albuterol ipratropium,1
appetite very thirsty past medical historypertinent results echo the left atrium and right atrium,1
calcium vitamin d stool softeners mucinex remeron,1
lopinivir ritonavir,1
anthracis aerobic bottle gram stain final,1
fluoroquinolone allergy,2
trazodone diabetes,1
nitro gtt this,1
qod levothyroxine,2
vanco enterbact,1
gib s p variceal banding lle,1
tobramycin s trimethoprim sulfa s am blood culture source line picc final report blood culture,1
benzo opiates liver team,1
vitamin b tsh,1
ergocalciferol vitamin d oral discharge medicationsdischarge diagnosis hepatic encephalopathy,1
albuterol metoprolol,1
milrinone epinephrine vasopressin levophed,1
albuterol inhaler furosemide,1
clotrimazole betamethasone lotrisone lotion,1
po qpm labetalol,1
potassium chloride meq po qam meq po qpm tenofovir,1
iron mineral centrum,1
dizzinesss,1
glucophage protonix,1
metfomin,1
